values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
0,0,0,0,0,0,0,0,0
2194,2272,2282,0,0,0,0,0,0
2187,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2208,0,0,0,0,0,0,0,0
2179,2250,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2253,0,2347,2372,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2191,0,2269,2280,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2230,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2237,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2197,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2207,0,2287,0,0,0,0,0,0
2246,0,0,0,0,0,0,0,0
2255,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2071,2093,0,0,0,0,0,0,0
2038,0,0,0,0,0,0,0,0
2133,0,0,2455,0,0,0,0,0
2085,0,0,0,0,0,0,0,0
2062,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2129,0,0,0,0,0,0,0,0
2031,0,0,0,0,0,0,0,0
2153,0,0,0,0,0,0,0,0
2125,0,0,0,0,0,0,0,0
2147,0,0,0,0,0,0,0,0
2268,0,0,0,0,0,0,0,0
2057,0,0,0,0,0,0,0,0
2036,0,0,0,0,0,0,0,0
2125,0,0,0,0,0,0,0,0
2060,2071,2219,2232,0,0,0,0,0
2072,0,0,0,0,0,0,0,0
2036,0,0,0,0,0,0,0,0
2103,0,0,0,0,0,0,0,0
2106,0,0,0,0,0,0,0,0
2110,0,0,0,0,0,0,0,0
2152,0,2252,2267,0,0,0,0,0
2095,0,0,0,0,0,0,0,0
2117,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2070,0,0,0,0,0,0,0,0
2102,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2031,0,2128,2177,0,0,0,0,0
2059,0,0,0,0,0,0,0,0
2062,0,0,0,0,0,0,0,0
2147,0,0,0,0,0,0,0,0
2074,0,0,0,0,0,0,0,0
2150,0,0,0,0,0,0,0,0
2089,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2396
2068,0,0,0,0,0,0,0,0
2057,0,2165,2194,0,0,0,0,0
2085,0,0,0,0,0,0,0,0
